shape_name;spp;full_name;common
Abacate;Persea americana;Persea americana Mill;Abacate
Abacaxi.;Ananas comosus;Ananas comosus (L.) Merr.;Abacaxi
Acai;Euterpe oleracea;Euterpe oleracea Mart.;Açaí
Alfafa.fenada;Medicago sativa;Medicago sativa L.;Alfafa
Alho;Allium sativum;Allium sativum L.;Alho
Amendoim..em.casca.;Arachis hypogaea;Arachis hypogaea L.;Amendoim
Arroz..em.casca.;Oryza sp.;Oryza sp.;Arroz
Aveia..em.grao.;Avena sativa;Avena sativa L.;Aveia
Azeitona;Olea europaea;Olea europaea L.;Azeitona
Banana..cacho.;Musa sp.;Musa sp.;Banana
Batata.doce;Ipomoea batatas;Ipomoea batatas (L.) Lam.;Batata-doce
Batata.inglesa;Solanum tuberosum;Solanum tuberosum L.;Batata-inglesa
Cacau..em.amendoa.;Theobroma cacao;Theobroma cacao L.;Cacau
Cafe..em.grao..Total;NA;NA;NA
Cafe..em.grao..Arabica;Coffea arabica;Coffea arabica L.;Café-arábica
Cafe..em.grao..Canephora;Coffea canephora;Coffea canephora Pierre ex A.Froehner;Café-canephora
Caju;Anacardium occidentale;Anacardium occidentale L.;Caju
Cana.de.acucar;Saccharum officinarum;Saccharum officinarum L.;Cana-de-açúcar
Caqui;Diospyros kaki;Diospyros kaki L.f.;Caqui
Castanha.de.caju;Anacardium occidentale;Anacardium occidentale L.;Caju
Cebola;Allium cepa;Allium cepa L.;Cebola
Centeio..em.grao.;Secale cereale;Secale cereale L.;Centeio
Cevada..em.grao.;Hordeum vulgare;Hordeum vulgare L.;Cevada
Cha.da.india..folha.verde.;Camellia sinensis;Camellia sinensis (L.) Kuntze;Chá-da-índia
Coco.da.baia.;Cocos nucifera;Cocos nucifera L.;Côco
Dende..cacho.de.coco.;Elaeis guineensis;Elaeis guineensis Jacq.;Dendê
Erva.mate..folha.verde.;Ilex paraguariensis;Ilex paraguariensis A.St.-Hil.;Erva-mate
Ervilha..em.grao.;Pisum sativum;Pisum sativum L.;Ervilha
Fava..em.grao.;Vicia faba;Vicia faba L.;Fava
Feijao..em.grao.;Phaseolus sp.;Phaseolus sp.;Feijão
Figo;Ficus cacarica;Ficus cacarica L.;Figo
Girassol..em.grao.;Helianthus annuus;Helianthus annuus L.;Girassol
Goiaba;Psidium guajava;Psidium guajava L.;Goiaba
Guarana..semente.;Paullinia cupana;Paullinia cupana Kunth;Guaraná
Juta..fibra.;Corchorus capsularis;Corchorus capsularis L.;Juta
Laranja;Citrus sinensis;Citrus sinensis (L.) Osbeck;Laranja
Limao;Citrus limonum;Citrus limonum L.;Limão
Maca;Malus domestica;Malus domestica (Suckow) Borkh;Maçã
Malva..fibra.;Malva sp.;Malva L.;Malva
Mamao;Carica papaya;Carica papaya A.St.-Hil.;Mamão
Mamona..baga.;Ricinus communis;Ricinus communis L.;Mamona
Mandioca;Manihot esculenta;Manihot esculenta Crantz;Mandioca
Manga;Mangifera indica;Mangifera indica L.;Manga
Maracuja;Passiflora edulis;Passiflora edulis Sims;Maracujá-amarelo
Marmelo;Cydonia oblonga;Cydonia oblonga Mill.;Marmelo
Melancia;Citrullus lanatus;Citrullus lanatus (Thunb.) Matsum. & Nakai;Melancia
Melao;Cucumis melo;Cucumis melo L.;Melão
Milho..em.grao.;Zea mays;Zea mays L.;Milho
Noz..fruto.seco.;Carya illinoinensis;Carya illinoinensis (Wangenh.) K.Koch;Noz pecã
Palmito;Euterpe edulis;Euterpe edulis Mart.;Palmito
Pera;Pyrus pyrifolia;Pyrus pyrifolia (Burm.f.) Nakai;Pêra
Pessego;Prunus persica;Prunus persica (L.) Batsch;Pêssego
Pimenta.do.reino;Piper nigrum;Piper nigrum L.;Pimenta-do-reino
Soja..em.grao.;Glycine max;Glycine max (L.) Merr.;Soja
Sorgo..em.grao.;Sorghum bicolor;Sorghum bicolor (L.) Moench;Sorgo
Tangerina;Citrus reticulata;Citrus reticulata Blanco;Tangerina
Tomate;Solanum lycopersicum;Solanum lycopersicum L.;Tomate
Trigo..em.grao.;Triticum sp.;Triticum sp.;Trigo
Triticale..em.grao.;Triticosecale rimpaui;Triticosecale rimpaui (M.Graebn.) Wittm. ex A.W.Hill;Triticale
Urucum..semente.;Bixa orellana;Bixa orellana L.;Urucum
Uva;Vitis labrusca;Vitis labrusca;Uva
